,id,sex,age,marital,child,educ,source,smoke,smokenum,op1,op2,op3,op4,op5,op6,mast1,mast2,mast3,mast4,mast5,mast6,mast7,pn1,pn2,pn3,pn4,pn5,pn6,pn7,pn8,pn9,pn10,pn11,pn12,pn13,pn14,pn15,pn16,pn17,pn18,pn19,pn20,lifsat1,lifsat2,lifsat3,lifsat4,lifsat5,pss1,pss2,pss3,pss4,pss5,pss6,pss7,pss8,pss9,pss10,sest1,sest2,sest3,sest4,sest5,sest6,sest7,sest8,sest9,sest10,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18
0,1.0,MALES,45.0,MARRIED FIRST TIME,YES,SOME ADDITIONAL TRAINING,WORK,NO,0.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,5.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,5.0,5.0,5.0,6.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,3.0,4.0,3.0,3.0,1.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
1,2.0,FEMALES,21.0,SINGLE,NO,COMPLETED UNDERGRADUATE,WORK,NO,0.0,4.0,4.0,2.0,4.0,5.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,4.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,3.0,3.0,2.0,5.0,4.0,3.0,3.0,3.0,2.0,5.0,4.0,5.0,2.0,2.0,5.0,5.0
2,3.0,FEMALES,42.0,MARRIED FIRST TIME,YES,SOME SECONDARY,FAMILY,NO,0.0,2.0,2.0,3.0,2.0,5.0,1.0,1.0,4.0,2.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,5.0,5.0,5.0,6.0,5.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,1.0,5.0,5.0
3,4.0,FEMALES,47.0,MARRIED FIRST TIME,YES,SOME SECONDARY,CHILDREN,NO,0.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,1.0,3.0,1.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,5.0,5.0,6.0,6.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
4,5.0,FEMALES,48.0,MARRIED FIRST TIME,NO,COMPLETED HIGHSCHOOL,RELATIONSHIPS,NO,0.0,5.0,1.0,5.0,1.0,5.0,1.0,1.0,4.0,1.0,3.0,4.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,5.0,4.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0,3.0,1.0,4.0,4.0,1.0,1.0,4.0,6.0,6.0,3.0,3.0,1.0,1.0,1.0,5.0,4.0,1.0,5.0,5.0,2.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,2.0,5.0,4.0,4.0,1.0,1.0,5.0,5.0
5,6.0,FEMALES,41.0,DIVORCED,YES,POSTGRADUATE COMPLETED,WORK,NO,0.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,5.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,3.0,2.0,5.0,2.0,2.0,5.0,5.0,4.0,4.0,1.0,4.0,1.0,3.0,3.0,4.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,5.0,4.0,5.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0
6,7.0,MALES,33.0,SINGLE,NO,COMPLETED UNDERGRADUATE,WORK,NO,0.0,4.0,1.0,4.0,1.0,5.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,4.0,5.0,5.0,2.0,5.0,2.0,4.0,3.0,3.0,2.0,3.0,5.0,5.0,5.0,2.0,5.0,1.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
7,8.0,FEMALES,38.0,DIVORCED,YES,COMPLETED UNDERGRADUATE,WORK,NO,0.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,2.0,3.0,1.0,4.0,4.0,2.0,4.0,1.0,2.0,4.0,4.0,2.0,4.0,1.0,4.0,4.0,2.0,2.0,5.0,5.0,5.0,6.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0
8,9.0,MALES,39.0,LIVING WITH PARTNER,YES,COMPLETED UNDERGRADUATE,WORK,YES,2.0,2.0,3.0,4.0,3.0,5.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,7.0,6.0,5.0,7.0,5.0,2.0,2.0,3.0,5.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,1.0,4.0,1.0,4.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,3.0,4.0,3.0,2.0,5.0,1.0,1.0,1.0,5.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0
9,10.0,FEMALES,67.0,MARRIED FIRST TIME,NO,SOME SECONDARY,SPOUSE OR PARTNER,NO,0.0,3.0,2.0,4.0,2.0,3.0,1.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,1.0,3.0,5.0,3.0,2.0,1.0,2.0,3.0,5.0,2.0,2.0,1.0,4.0,5.0,1.0,1.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,2.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,5.0,2.0,3.0,2.0,3.0,2.0,4.0,5.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0,5.0
